key,en,es,fr,de,pt,th,vi,id,ms,fil,zh
admin.public_groups_reports.activities_report_start,"""Start""",,,,,,,,,,"""开始日期"""
admin.public_groups_reports.activities_report_subtitle,"""Review daily grants, bonus points and export for analysis.""",,,,,,,,,,"""汇总每日发放与加码情况，可下载 CSV 进行分析。"""
admin.public_groups_reports.activities_report_title,"""Campaign Performance Report""",,,,,,,,,,"""公开群活动绩效报表"""
admin.public_groups_reports.activities_report_total,"""Total grants / points""",,,,,,,,,,"""总发放 / 总星数"""
admin.public_groups_reports.activities_report_total_conversions,"""Total conversions""",,,,,,,,,,"""总转化人数"""
admin.public_groups_reports.activities_report_total_points,"""Total points""",,,,,,,,,,"""总发放星数"""
admin.public_groups_reports.activities_report_webhook_failures,"""Webhook failures""",,,,,,,,,,"""Webhook 失败次数"""
admin.public_groups_reports.activities_report_webhook_rate,"""Webhook success""",,,,,,,,,,"""Webhook 成功率"""
admin.public_groups_reports.activities_report_webhook_success,"""Webhook success""",,,,,,,,,,"""Webhook 成功率"""
admin.public_groups_reports.activities_reward_points,"""Bonus Points""",,,,,,,,,,"""奖励星数"""
admin.public_groups_reports.activities_start_at,"""Start Time""",,,,,,,,,,"""开始时间"""
admin.public_groups_reports.activities_subtitle,"""Configure join bonus campaigns and manage their lifecycle.""",,,,,,,,,,"""配置公开群入群奖励活动并管理其启停。"""
admin.public_groups_reports.activities_time_range,"""Time range""",,,,,,,,,,"""活动周期"""
admin.public_groups_reports.activities_title,"""Automated Campaigns""",,,,,,,,,,"""自动化活动"""
admin.public_groups_reports.activities_toggle_pause,"""Pause""",,,,,,,,,,"""暂停"""
admin.public_groups_reports.activities_toggle_resume,"""Resume""",,,,,,,,,,"""恢复"""
admin.public_groups_reports.activities_total_cap,"""Total Cap""",,,,,,,,,,"""总上限"""
admin.public_groups_reports.activities_type_join_bonus,"""Join bonus""",,,,,,,,,,"""入群奖励"""
admin.public_groups_reports.back_to_groups,"""Back to groups""",,,,,,,,,,"""返回公开群列表"""
admin.public_groups_reports.back_to_list,"""Back to report list""",,,,,,,,,,"""返回举报列表"""
admin.public_groups_reports.dashboard_clicks,"""Clicks""",,,,,,,,,,"""点击"""
admin.public_groups_reports.dashboard_conversion,"""Conversion Summary""",,,,,,,,,,"""转化概览"""
admin.public_groups_reports.dashboard_created,"""Created""",,,,,,,,,,"""新建数量"""
admin.public_groups_reports.dashboard_creations,"""New Groups""",,,,,,,,,,"""新建群统计"""
admin.public_groups_reports.dashboard_date,"""Date""",,,,,,,,,,"""日期"""
admin.public_groups_reports.dashboard_days,"""days""",,,,,,,,,,"""天"""
admin.public_groups_reports.dashboard_error,"""Failed to load stats. Please retry.""",,,,,,,,,,"""加载统计失败，请稍后重试。"""
admin.public_groups_reports.dashboard_group,"""Group""",,,,,,,,,,"""群组"""
admin.public_groups_reports.dashboard_joins,"""Joins""",,,,,,,,,,"""入群"""
admin.public_groups_reports.dashboard_loading,"""Loading...""",,,,,,,,,,"""加载中..."""
admin.public_groups_reports.dashboard_range,"""Range""",,,,,,,,,,"""时间范围"""
admin.public_groups_reports.dashboard_refresh,"""Refresh""",,,,,,,,,,"""刷新"""
admin.public_groups_reports.dashboard_status,"""Status Breakdown""",,,,,,,,,,"""状态分布"""
admin.public_groups_reports.dashboard_subtitle,"""Review conversion trends, creation volume, and top tags.""",,,,,,,,,,"""一站式查看曝光、点击、入群与热门标签趋势。"""
admin.public_groups_reports.dashboard_tags,"""Top Tags""",,,,,,,,,,"""热门标签"""
admin.public_groups_reports.dashboard_timeline,"""Exposure → Click → Join Timeline""",,,,,,,,,,"""曝光 → 点击 → 入群趋势"""
admin.public_groups_reports.dashboard_title,"""Public Group Dashboard""",,,,,,,,,,"""公开群成效仪表板"""
admin.public_groups_reports.dashboard_top,"""Top N""",,,,,,,,,,"""热门数量"""
admin.public_groups_reports.dashboard_top_groups,"""Top Groups""",,,,,,,,,,"""热门群组"""
admin.public_groups_reports.dashboard_views,"""Views""",,,,,,,,,,"""曝光"""
admin.public_groups_reports.detail_subtitle,"""Review case context, add notes, and close out the report.""",,,,,,,,,,"""梳理上下文、留下处理记录并及时结案。"""
admin.public_groups_reports.detail_title,"""Report Detail""",,,,,,,,,,"""举报工单详情"""
admin.public_groups_reports.empty,"""No reports found for the current filter.""",,,,,,,,,,"""暂无符合条件的举报工单。"""
admin.public_groups_reports.field_created,"""Created at""",,,,,,,,,,"""创建时间"""
admin.public_groups_reports.field_description,"""Description""",,,,,,,,,,"""举报内容"""
admin.public_groups_reports.field_group_id,"""Group ID""",,,,,,,,,,"""群组 ID"""
admin.public_groups_reports.field_group_link,"""Invite link""",,,,,,,,,,"""邀请链接"""
admin.public_groups_reports.field_group_name,"""Name""",,,,,,,,,,"""群组名称"""
admin.public_groups_reports.field_group_status,"""Status""",,,,,,,,,,"""当前状态"""
admin.public_groups_reports.field_id,"""Case ID""",,,,,,,,,,"""工单编号"""
admin.public_groups_reports.field_priority,"""Priority""",,,,,,,,,,"""优先级"""
admin.public_groups_reports.field_reporter,"""Reporter""",,,,,,,,,,"""举报人"""
admin.public_groups_reports.field_resolution_note,"""Resolution note""",,,,,,,,,,"""处理说明"""
admin.public_groups_reports.field_resolved,"""Resolved at""",,,,,,,,,,"""结案时间"""
admin.public_groups_reports.field_status,"""Status""",,,,,,,,,,"""状态"""
admin.public_groups_reports.field_type,"""Type""",,,,,,,,,,"""举报类别"""
admin.public_groups_reports.field_updated,"""Updated at""",,,,,,,,,,"""更新时间"""
admin.public_groups_reports.filter_all_status,"""All statuses""",,,,,,,,,,"""全部状态"""
admin.public_groups_reports.filter_apply,"""Apply filters""",,,,,,,,,,"""应用筛选"""
admin.public_groups_reports.filter_reset,"""Reset""",,,,,,,,,,"""重置"""
admin.public_groups_reports.filter_status,"""Status""",,,,,,,,,,"""状态"""
admin.public_groups_reports.group_info,"""Group""",,,,,,,,,,"""关联群组"""
admin.public_groups_reports.group_missing,"""Group has been removed.""",,,,,,,,,,"""群组已被移除。"""
admin.public_groups_reports.inline_assign_me,"""Assign to me""",,,,,,,,,,"""指派给我"""
admin.public_groups_reports.inline_assign_success,"""Assigned to you.""",,,,,,,,,,"""已指派给你。"""
admin.public_groups_reports.inline_error,"""Update failed. Please retry.""",,,,,,,,,,"""操作失败，请稍后重试。"""
admin.public_groups_reports.inline_mark_dismissed,"""Dismiss""",,,,,,,,,,"""驳回"""
admin.public_groups_reports.inline_mark_in_progress,"""In progress""",,,,,,,,,,"""处理中"""
admin.public_groups_reports.inline_mark_resolved,"""Resolve""",,,,,,,,,,"""结案"""
admin.public_groups_reports.inline_note_prompt,"""Add a resolution note (optional):""",,,,,,,,,,"""填写处理说明（可选）："""
admin.public_groups_reports.inline_status_updated,"""Case updated.""",,,,,,,,,,"""工单已更新。"""
admin.public_groups_reports.insights_alerts_count,"""alerts""",,,,,,,,,,"""条预警"""
admin.public_groups_reports.insights_alerts_empty,"""No alerts – all activities look healthy.""",,,,,,,,,,"""暂无预警，整体表现正常。"""
admin.public_groups_reports.insights_alerts_title,"""Alerts""",,,,,,,,,,"""异常提醒"""
admin.public_groups_reports.insights_card_conversions,"""Conversions""",,,,,,,,,,"""转化次数"""
admin.public_groups_reports.insights_card_points,"""Points""",,,,,,,,,,"""奖励星数"""
admin.public_groups_reports.insights_card_slack,"""Slack Failures""",,,,,,,,,,"""Slack 失败数"""
admin.public_groups_reports.insights_card_success,"""Webhook Success""",,,,,,,,,,"""Webhook 成功率"""
admin.public_groups_reports.insights_chart_series_conversions,"""Conversions""",,,,,,,,,,"""转化次数"""
admin.public_groups_reports.insights_chart_series_points,"""Points""",,,,,,,,,,"""奖励星数"""
admin.public_groups_reports.insights_chart_title,"""Daily Conversions & Bonus Points""",,,,,,,,,,"""每日转化与星数趋势"""
admin.public_groups_reports.insights_error,"""Failed to load activity insights.""",,,,,,,,,,"""加载活动洞察失败，请稍后重试。"""
admin.public_groups_reports.insights_filter_activity,"""Activity""",,,,,,,,,,"""活动"""
admin.public_groups_reports.insights_filter_all,"""All""",,,,,,,,,,"""全部"""
admin.public_groups_reports.insights_filter_apply,"""Update""",,,,,,,,,,"""更新"""
admin.public_groups_reports.insights_filter_days,"""Preset (days)""",,,,,,,,,,"""快捷天数"""
admin.public_groups_reports.insights_filter_range,"""Range""",,,,,,,,,,"""时间范围"""
admin.public_groups_reports.insights_link,"""View Activity Insights""",,,,,,,,,,"""查看活动洞察"""
admin.public_groups_reports.insights_loading,"""Loading...""",,,,,,,,,,"""加载中..."""
admin.public_groups_reports.insights_subtitle,"""Monitor campaign conversions, bonus points, and webhook health.""",,,,,,,,,,"""聚焦入群转化、奖励星数与 Webhook 健康度。"""
admin.public_groups_reports.insights_table_activity,"""Activity""",,,,,,,,,,"""活动"""
admin.public_groups_reports.insights_table_conversions,"""Conversions""",,,,,,,,,,"""转化"""
admin.public_groups_reports.insights_table_points,"""Points""",,,,,,,,,,"""星数"""
admin.public_groups_reports.insights_table_slack,"""Slack Failures""",,,,,,,,,,"""Slack 失败"""
admin.public_groups_reports.insights_table_success,"""Success Rate""",,,,,,,,,,"""成功率"""
admin.public_groups_reports.insights_title,"""Activity Insights""",,,,,,,,,,"""活动成效洞察"""
admin.public_groups_reports.insights_top_title,"""Top Activities""",,,,,,,,,,"""热门活动"""
admin.public_groups_reports.note_operator,"""Operator""",,,,,,,,,,"""操作人"""
admin.public_groups_reports.notes_count,"""entries""",,,,,,,,,,"""条记录"""
admin.public_groups_reports.notes_empty,"""No notes yet.""",,,,,,,,,,"""尚未填写处理记录。"""
admin.public_groups_reports.notes_heading,"""Activity log""",,,,,,,,,,"""处理记录"""
admin.public_groups_reports.notes_new,"""Add internal note""",,,,,,,,,,"""新增处理记录"""
admin.public_groups_reports.notes_placeholder,"""Write your note here...""",,,,,,,,,,"""填写处理说明或沟通结果..."""
admin.public_groups_reports.notes_submit,"""Add note""",,,,,,,,,,"""新增记录"""
admin.public_groups_reports.pagination_summary,"""Showing {start}–{end} of {total} cases""",,,,,,,,,,"""第 {start} – {end} 条，共 {total} 条记录"""
admin.public_groups_reports.report_info,"""Report information""",,,,,,,,,,"""举报信息"""
admin.public_groups_reports.search_label,"""Search""",,,,,,,,,,"""关键词"""
admin.public_groups_reports.search_placeholder,"""Group name, type, reporter or description""",,,,,,,,,,"""群名称 / 举报类型 / 举报人 / 描述"""
admin.public_groups_reports.status_dismissed,"""Dismissed""",,,,,,,,,,"""已驳回"""
admin.public_groups_reports.status_in_progress,"""In progress""",,,,,,,,,,"""处理中"""
admin.public_groups_reports.status_pending,"""Pending""",,,,,,,,,,"""待处理"""
admin.public_groups_reports.status_resolved,"""Resolved""",,,,,,,,,,"""已解决"""
admin.public_groups_reports.subtitle,"""Track incoming reports, assign operators, and close loops.""",,,,,,,,,,"""记录并跟进用户举报，指派负责人并闭环处理。"""
admin.public_groups_reports.table_assigned,"""Assigned to""",,,,,,,,,,"""指派人"""
admin.public_groups_reports.table_created,"""Created""",,,,,,,,,,"""创建时间"""
admin.public_groups_reports.table_group,"""Group""",,,,,,,,,,"""群组"""
admin.public_groups_reports.table_id,"""ID""",,,,,,,,,,"""工单编号"""
admin.public_groups_reports.table_priority,"""Priority""",,,,,,,,,,"""优先级"""
admin.public_groups_reports.table_status,"""Status""",,,,,,,,,,"""状态"""
admin.public_groups_reports.table_summary,"""Summary""",,,,,,,,,,"""摘要"""
admin.public_groups_reports.table_type,"""Type""",,,,,,,,,,"""类别"""
admin.public_groups_reports.title,"""Public Group Reports""",,,,,,,,,,"""公开群举报工单"""
admin.public_groups_reports.view_detail,"""View detail""",,,,,,,,,,"""查看详情"""
admin.queue.done,Done,,,,,,,,,,已完成
admin.queue.enqueue,Enqueue,,,,,,,,,,加入队列
admin.queue.failed,Failed,,,,,,,,,,失败
admin.queue.running,Running,,,,,,,,,,进行中
admin.queue.title,Export Queue,,,,,,,,,,导出任务队列
admin.recharge.address,Address,,,,,,,,,,收款地址
admin.recharge.amount,Order amount,,,,,,,,,,下单金额
admin.recharge.expire,Set expired,,,,,,,,,,置为过期
admin.recharge.final_pay,Final due,,,,,,,,,,最终应付
admin.recharge.network,Network,,,,,,,,,,网络
admin.recharge.order_id,Order ID,,,,,,,,,,订单号
admin.recharge.payment_url,Payment link,,,,,,,,,,支付链接
admin.recharge.refresh,Refresh,,,,,,,,,,刷新状态
admin.recharge.status.EXPIRED,Expired,,,,,,,,,,已过期
admin.recharge.status.FAILED,Failed,,,,,,,,,,失败
admin.recharge.status.PENDING,Pending,,,,,,,,,,待支付
admin.recharge.status.SUCCESS,Success,,,,,,,,,,成功
admin.recharge.title,Top-up Orders,,,,,,,,,,充值订单
admin.recharge.token,Token,,,,,,,,,,代币
admin.reset.all.confirm_phrase.invalid,"""❌ Wrong passphrase. Cancelled.""",,,,,,,,,,"""❌ 口令不正确，已取消。"""
admin.reset.btn.all,"""⚠️ Reset all users""",,,,,,,,,,"""⚠️ 批量清零（全体）"""
admin.reset.btn.select,"""🧹 Reset selected (ID/@)""",,,,,,,,,,"""🧹 指定清零（按ID/@）"""
admin.reset.confirm_title,"""Confirmation""",,,,,,,,,,二次确认
admin.reset.disallowed,"""Reset disabled in this environment""",,,,,,,,,,当前环境禁止清零，请联系超管
admin.reset.dryrun,"""Dry run""",,,,,,,,,,试运行
admin.reset.everyone,"""Reset for all users""",,,,,,,,,,对全体用户清零
admin.reset.execute,"""Confirm reset""",,,,,,,,,,确认清零
admin.reset.passphrase,"""Passphrase""",,,,,,,,,,口令
admin.reset.select.input,"""Enter targets to reset (user IDs or @usernames). Multiple supported by comma/space/semicolon/newline.""",,,,,,,,,,"""请输入需要清零的目标（用户ID或@用户名），支持多个，逗号/空格/分号/换行分隔："""
admin.reset.selected,"""Reset for selected users""",,,,,,,,,,对所选用户清零
admin.reset.title,Balance Reset,,,,,,,,,,余额清零
admin.send_file_failed,"""❌ File send failed: {reason}""","""❌ Error al enviar archivo: {reason}""","""❌ Envoi du fichier échoué : {reason}""","""❌ Dateiübertragung fehlgeschlagen: {reason}""",,,"""❌ Gửi tệp thất bại: {reason}""",,,,"""❌ 发送文件失败：{reason}"""
admin.settings,"""⚙️ Settings""","""⚙️ Configuración""","""⚙️ Paramètres""","""⚙️ Einstellungen""",,,"""⚙️ Cài đặt hệ thống""",,,,"""⚙️ 系统设置"""
admin.settings.feature_flags,Feature Flags,,,,,,,,,,功能开关
admin.settings.title,Settings,,,,,,,,,,系统设置
admin.settings.toggle_first,Toggle one feature to start,,,,,,,,,,切换一个可用开关
admin.stats,"""📈 Overview""","""📈 Estadísticas""","""📈 Statistiques""","""📈 Statistiken""",,,"""📈 Tổng quan thống kê""",,,,"""📈 统计概览"""
admin.stats_active_today,"""🔥 Active today: {n}""","""🔥 Usuarios activos hoy: {n}""","""🔥 Utilisateurs actifs aujourd’hui : {n}""","""🔥 Heute aktive Nutzer: {n}""",,,"""🔥 Người dùng hoạt động hôm nay: {n}""",,,,"""🔥 今日活跃用户：{n}"""
admin.stats_ongoing,"""⏳ Ongoing: {n}""","""⏳ En curso: {n}""","""⏳ En cours : {n}""","""⏳ Laufend: {n}""",,,"""⏳ Đang diễn ra: {n}""",,,,"""⏳ 进行中：{n}"""
admin.stats_recharge,"""💰 Top-up summary:""","""💰 Suma de recargas:""","""💰 Somme des recharges :""","""💰 Aufladungssumme:""",,,"""💰 Tổng nạp:""",,,,"""💰 充值汇总："""
admin.stats_total_env,"""🧧 Total packets: {n}""","""🧧 Sobres totales: {n}""","""🧧 Total d’enveloppes : {n}""","""🧧 Umschläge gesamt: {n}""",,,"""🧧 Tổng số phong bao: {n}""",,,,"""🧧 总红包：{n}"""
admin.stats_users,"""👥 Users: {n}""","""👥 Usuarios: {n}""","""👥 Utilisateurs : {n}""","""👥 Nutzer: {n}""",,,"""👥 Người dùng: {n}""",,,,"""👥 用户数：{n}"""
admin.table.amount,Amount,,,,,,,,,,金额
admin.table.note,Note,,,,,,,,,,备注
admin.table.result,Result,,,,,,,,,,结果
admin.table.token,Token,,,,,,,,,,币种
admin.table.user,User,,,,,,,,,,用户
admin.table.username,Username,,,,,,,,,,用户名
admin.tags.disable,Disable tag,,,,,,,,,,禁用标签
admin.tags.hot,Hot tags,,,,,,,,,,热门标签
admin.tags.title,Tags,,,,,,,,,,标签管理
admin.toast.copied,Copied,,,,,,,,,,已复制
admin.toast.deleted,Deleted,,,,,,,,,,已删除
admin.toast.done,Done,,,,,,,,,,已完成
admin.toast.saved,Saved,,,,,,,,,,已保存
admin.toggle_auto,"""🔁 Toggle auto mode""","""🔁 Alternar modo automático""","""🔁 Basculer mode auto""","""🔁 Automatik umschalten""",,,"""🔁 Bật/Tắt chế độ tự động""",,,,"""🔁 开关自动模式"""
admin.twofactor.fail,Verification failed,,,,,,,,,,校验失败
admin.twofactor.need_otp,Code sent,,,,,,,,,,验证码已发送
admin.twofactor.ok,Verified,,,,,,,,,,已通过二次验证
admin.twofactor.send,Send code,,,,,,,,,,发送验证码
admin.twofactor.title,Two-factor,,,,,,,,,,二次校验
admin.twofactor.verify,Verify,,,,,,,,,,验证
asset.points,"""⭐ Points""","""⭐ Puntos""","""⭐ Points""","""⭐ Punkte""",,,,,,,"""⭐ 积分"""
asset.title,"""💼 My Assets""","""💼 Mis activos""","""💼 Mes actifs""","""💼 Meine Vermögenswerte""",,,,,,,"""💼 我的资产"""
asset.ton,"""🪙 TON""","""🪙 TON""","""🪙 TON""","""🪙 TON""",,,,,,,"""🪙 TON"""
asset.usdt,"""💵 USDT""","""💵 USDT""","""💵 USDT""","""💵 USDT""",,,,,,,"""💵 USDT"""
balance.recharge,"""💳 Top up""","""💳 Recargar""","""💳 Recharger""","""💳 Aufladen""",,"""💳 เติมเงิน""","""💳 Nạp tiền""",,,,"""💳 去充值"""
balance.template,"🧾 Current balance
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Points: {points}

🎯 Current token: <b>{token}</b>
🧾 Pending charge: {real_amt}","🧾 Saldo actual
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Puntos: {points}

🎯 Moneda actual: <b>{token}</b>
🧾 Cargo previsto: {real_amt}","🧾 Solde actuel
💵 USDT : {usdt}
🪙 TON : {ton}
⭐ Points : {points}

🎯 Devise courante : <b>{token}</b>
🧾 Débit prévu : {real_amt}","🧾 Aktuelles Guthaben
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Punkte: {points}

🎯 Aktuelle Währung: <b>{token}</b>
🧾 Geplante Belastung: {real_amt}",,"🧾 ยอดคงเหลือปัจจุบัน  
💵 USDT: {usdt}  
🪙 TON: {ton}  
⭐ คะแนน: {points}  

🎯 สกุลเงินปัจจุบัน: <b>{token}</b>  
🧾 จะหัก: {real_amt}","🧾 Số dư hiện tại
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Điểm: {points}

🎯 Loại tiền hiện tại: <b>{token}</b>
🧾 Sẽ trừ: {real_amt}",,,,"🧾 当前余额
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ 积分: {points}

🎯 当前币种：<b>{token}</b>
🧾 准备扣款：{real_amt}"
balance.title,"""💼 My Assets""","""💼 Mis activos""","""💼 Mes actifs""","""💼 Meine Vermögenswerte""",,"""💼 สินทรัพย์ของฉัน""","""💼 Tài sản của tôi""",,,,"""💼 我的资产"""
balance.withdraw,"""🏧 Withdraw""","""🏧 Retirar""","""🏧 Retirer""","""🏧 Auszahlen""",,"""🏧 ถอนเงิน""","""🏧 Rút tiền""",,,,"""🏧 去提现"""
balance_card.template,"🧾 Current balance
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Points: {points}

🎯 Current token: <b>{token}</b>
🧾 Pending charge: {real_amt}","🧾 Saldo actual
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Puntos: {points}

🎯 Moneda actual: <b>{token}</b>
🧾 Cargo previsto: {real_amt}","🧾 Solde actuel
💵 USDT : {usdt}
🪙 TON : {ton}
⭐ Points : {points}

🎯 Devise courante : <b>{token}</b>
🧾 Débit prévu : {real_amt}","🧾 Aktuelles Guthaben
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Punkte: {points}

🎯 Aktuelle Währung: <b>{token}</b>
🧾 Geplante Belastung: {real_amt}",,,"🧾 Số dư hiện tại
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ Điểm: {points}

🎯 Loại tiền hiện tại: <b>{token}</b>
🧾 Sẽ trừ: {real_amt}",,,,"🧾 当前余额
💵 USDT: {usdt}
🪙 TON: {ton}
⭐ 积分: {points}

🎯 当前币种：<b>{token}</b>
🧾 准备扣款：{real_amt}"
balance_page.points,"""⭐ Points: {amount}""","""⭐ Puntos: {amount}""","""⭐ Points : {amount}""","""⭐ Punkte: {amount}""",,"""⭐ คะแนน: {amount}""","""⭐ Điểm: {amount}""",,,,"""⭐ 积分：{amount}"""
balance_page.title,"""💼 Balance Overview""","""💼 Vista general""","""💼 Vue d’ensemble""","""💼 Gesamtübersicht""",,"""💼 ภาพรวมสินทรัพย์""","""💼 Tổng quan tài sản""",,,,"""💼 资产概览"""
balance_page.ton,"""🪙 TON: {amount}""","""🪙 TON: {amount}""","""🪙 TON : {amount}""","""🪙 TON: {amount}""",,"""🪙 TON: {amount}""","""🪙 TON: {amount}""",,,,"""🪙 TON：{amount}"""
balance_page.usdt,"""💵 USDT: {amount}""","""💵 USDT: {amount}""","""💵 USDT : {amount}""","""💵 USDT: {amount}""",,"""💵 USDT: {amount}""","""💵 USDT: {amount}""",,,,"""💵 USDT：{amount}"""
common.bad_request,"""⚠️ Bad request. Try again.""","""⚠️ Solicitud inválida. Intenta de nuevo.""","""⚠️ Requête invalide. Réessaie.""","""⚠️ Ungültige Anfrage. Bitte erneut versuchen.""",,,"""⚠️ Yêu cầu không hợp lệ. Vui lòng thử lại.""",,,,"""⚠️ 请求有误，请重试"""
common.close,"""Close""","""Cerrar""","""Fermer""","""Schließen""",,,"""Đóng""",,,,"""关闭"""
common.copied_tip,"""Copied content sent""","""Contenido copiable enviado""","""Contenu copiable envoyé""","""Kopierbarer Inhalt gesendet""",,,"""Đã gửi nội dung có thể sao chép""",,,,"""已发送可复制内容"""
common.custom_amount,"""✏️ Custom amount""","""✏️ Importe personalizado""","""✏️ Montant personnalisé""","""✏️ Eigener Betrag""",,,"""✏️ Số tiền tùy chọn""",,,,"""✏️ 自定义金额"""
common.custom_shares,"""✏️ Custom shares""","""✏️ Partes personalizadas""","""✏️ Parts personnalisées""","""✏️ Eigene Anteilzahl""",,,"""✏️ Số phần tùy chọn""",,,,"""✏️ 自定义份数"""
common.invalid,"""Invalid operation""","""Acción inválida""","""Action invalide""","""Ungültige Aktion""",,,"""Hành động không hợp lệ""",,,,"""无效操作"""
common.next,"""Next »""","""Siguiente »""","""Suivant »""","""Weiter »""",,,"""Tiếp »""",,,,"""下一页 »"""
common.not_available,"""⛔ Not available for now""","""⛔ Función no disponible por ahora""","""⛔ Fonction temporairement indisponible""","""⛔ Funktion derzeit nicht verfügbar""",,,"""⛔ Chức năng tạm thời không khả dụng""",,,,"""⛔ 该功能暂不可用，请稍后再试"""
common.not_found,"""🔍 Not found""","""🔍 No encontrado""","""🔍 Introuvable""","""🔍 Nicht gefunden""",,,"""🔍 Không tìm thấy""",,,,"""🔍 未找到"""
common.ok_emoji,"""👌""","""👌""","""👌""","""👌""",,,"""👌""",,,,"""👌"""
common.prev,"""« Prev""","""« Anterior""","""« Précédent""","""« Zurück""",,,"""« Trước""",,,,"""« 上一页"""
common.processing,"""⏳ Checking balance...""","""⏳ Comprobando saldo…""","""⏳ Vérification du solde…""","""⏳ Guthaben wird geprüft…""",,,"""⏳ Đang kiểm tra số dư…""",,,,"""⏳ 正在检查余额..."""
common.refresh,"""🔄 Refresh""","""🔄 Actualizar""","""🔄 Actualiser""","""🔄 Aktualisieren""",,,"""🔄 Làm mới""",,,,"""🔄 刷新状态"""
common.skip,"""➡️ Skip""","""➡️ Omitir""","""➡️ Passer""","""➡️ Überspringen""",,,"""➡️ Bỏ qua""",,,,"""➡️ 跳过"""
common.wait_emoji,"""⏳""","""⏳""","""⏳""","""⏳""",,,"""⏳""",,,,"""⏳"""
env.amount.ask,"""💰 Enter total amount (e.g., 12.34)""","""💰 Introduce el importe total (p. ej. 12.34)""","""💰 Entre le montant total (ex. 12.34)""","""💰 Bitte Gesamtbetrag eingeben (z. B. 12.34)""",,,,,,,"""💰 请输入红包总金额（如 12.34）"""
env.back,"""⬅️ Back""","""⬅️ Atrás""","""⬅️ Retour""","""⬅️ Zurück""",,,,,,,"""⬅️ 返回"""
env.cancel,"""✖️ Cancel""","""✖️ Cancelar""","""✖️ Annuler""","""✖️ Abbrechen""",,,,,,,"""✖️ 取消"""
env.cancelled,"""✅ Cancelled. Funds were returned.""","""✅ Cancelado. Reembolso realizado.""","""✅ Annulé. Remboursement effectué.""","""✅ Abgebrochen. Betrag erstattet.""",,,,,,,"""✅ 已取消，款项已原路退回。"""
env.confirm.hint,"""After confirming, a packet card will be created and delivered.""","""Se creará y enviará la tarjeta del sobre.""","""Une carte d’enveloppe sera créée et envoyée.""","""Danach wird eine Umschlagkarte erstellt und gesendet.""",,,,,,,"""确认后将创建并投放红包卡片。"""
env.confirm.title,"""✅ Confirm parameters""","""✅ Confirma los parámetros""","""✅ Confirme les paramètres""","""✅ Parameter bestätigen""",,,,,,,"""✅ 请确认参数"""
env.confirm_page.amount_label,"""💵 Amount:""","""💵 Importe: ""","""💵 Montant : ""","""💵 Betrag: """,,,,,,,"""💵 金额："""
env.confirm_page.cover_label,"""🖼 Cover:""","""🖼 Portada: ""","""🖼 Couverture : ""","""🖼 Cover: """,,,,,,,"""🖼 封面："""
env.confirm_page.dist_label,"""⚖️ Distribution:""","""⚖️ Reparto: ""","""⚖️ Répartition : ""","""⚖️ Verteilung: """,,,,,,,"""⚖️ 分配方式："""
env.confirm_page.fixed_tip,"""🟰 Fixed""","""🟰 Fijo""","""🟰 Fixe""","""🟰 Fix""",,,,,,,"""🟰 固定"""
env.confirm_page.loc_label,"""📍 Location:""","""📍 Destino: ""","""📍 Emplacement : ""","""📍 Ort: """,,,,,,,"""📍 投放位置："""
env.confirm_page.memo_label,"""📝 Note:""","""📝 Mensaje: ""","""📝 Message : ""","""📝 Nachricht: """,,,,,,,"""📝 祝福语："""
env.confirm_page.random_tip,"""🎲 Random""","""🎲 Aleatorio""","""🎲 Aléatoire""","""🎲 Zufällig""",,,,,,,"""🎲 随机"""
env.confirm_page.shares_label,"""📦 Shares:""","""📦 Partes: ""","""📦 Parts : ""","""📦 Anteile: """,,,,,,,"""📦 份数："""
env.confirm_page.title,"""🧧 Confirm Packet""","""🧧 Confirmación del sobre""","""🧧 Confirmation""","""🧧 Umschlag bestätigen""",,,,,,,"""🧧 确认红包信息"""
env.confirm_page.token_label,"""🪙 Token:""","""🪙 Moneda: ""","""🪙 Devise : ""","""🪙 Währung: """,,,,,,,"""🪙 币种："""
env.continue_in_dm,"""Continue in DM ➡️""","""Seguir por privado ➡️""","""Continuer en privé ➡️""","""Im Privatchat fortsetzen ➡️""",,,,,,,"""在私聊继续 ➡️"""
env.copy.hint,"""🧩 Copied last packet parameters. Send the <b>total amount</b> to continue (will charge immediately).""","""🧩 Parámetros del último sobre copiados. Envía el 【importe total】 para continuar (se debita al instante).""","""🧩 Paramètres de la dernière enveloppe copiés. Envoie le 【montant total】 pour continuer (débit immédiat).""","""🧩 Parameter des letzten Umschlags kopiert. Sende den 【Gesamtbetrag】, um fortzufahren (wird sofort belastet).""",,,,,,,"""🧩 已复制上次红包参数。请发送【总金额】以继续（将会立刻扣款）。"""
